,id,size,generation,fitness.min,fitness.l_quartile,fitness.median,fitness.u_quartile,fitness.max
0,050:000,50,0,16.0,23.0,25.0,29.0,35.0
1,050:000,50,1,15.0,23.5,26.0,29.0,35.0
2,050:000,50,2,19.0,24.0,26.5,29.0,37.0
3,050:000,50,3,17.0,25.0,26.0,29.0,35.0
4,050:000,50,4,17.0,24.0,27.0,29.0,37.0
5,050:000,50,5,21.0,24.0,26.0,29.0,35.0
6,050:000,50,6,19.0,24.0,26.0,28.5,38.0
7,050:000,50,7,18.0,24.0,26.0,28.0,38.0
8,050:000,50,8,15.0,24.0,27.0,29.0,38.0
9,050:000,50,9,19.0,24.0,27.0,29.0,37.0
10,050:000,50,10,14.0,24.0,26.0,29.0,36.0
11,050:000,50,11,18.0,25.0,27.0,29.0,37.0
12,050:000,50,12,17.0,25.5,27.0,29.0,37.0
13,050:000,50,13,20.0,25.0,28.0,30.0,36.0
14,050:000,50,14,17.0,25.0,27.0,30.0,39.0
15,050:000,50,15,19.0,24.0,27.0,31.0,36.0
16,050:000,50,16,21.0,26.0,28.0,31.0,37.0
17,050:000,50,17,19.0,26.0,29.0,32.0,37.0
18,050:000,50,18,23.0,28.0,30.0,31.0,38.0
19,050:000,50,19,19.0,27.0,29.0,31.0,42.0
20,050:000,50,20,18.0,27.0,29.0,32.0,38.0
21,050:000,50,21,23.0,27.5,30.0,32.0,38.0
22,050:000,50,22,22.0,27.0,30.0,32.0,37.0
23,050:000,50,23,22.0,27.0,29.0,32.0,43.0
24,050:000,50,24,21.0,26.0,28.5,31.0,38.0
25,050:000,50,25,20.0,27.0,30.0,32.0,37.0
26,050:000,50,26,19.0,28.0,30.0,32.0,36.0
27,050:000,50,27,20.0,28.0,29.0,32.0,39.0
28,050:000,50,28,20.0,28.0,30.0,32.5,38.0
29,050:000,50,29,23.0,28.0,31.0,33.0,40.0
30,050:000,50,30,21.0,28.0,31.0,34.0,39.0
31,050:000,50,31,21.0,28.0,30.0,32.0,39.0
32,050:000,50,32,21.0,29.0,31.0,33.0,40.0
33,050:000,50,33,22.0,29.0,31.0,34.0,38.0
34,050:000,50,34,23.0,29.0,31.5,34.0,40.0
35,050:000,50,35,23.0,29.0,31.0,33.0,40.0
36,050:000,50,36,24.0,29.0,31.0,33.0,40.0
37,050:000,50,37,24.0,28.0,31.0,33.0,40.0
38,050:000,50,38,24.0,28.5,31.0,33.0,40.0
39,050:000,50,39,24.0,29.0,32.0,33.0,39.0
40,050:000,50,40,23.0,30.0,32.0,34.0,40.0
41,050:000,50,41,19.0,29.0,32.0,34.0,40.0
42,050:000,50,42,25.0,29.0,32.0,34.0,40.0
43,050:000,50,43,23.0,30.0,32.0,35.0,41.0
44,050:000,50,44,23.0,29.5,32.0,35.0,42.0
45,050:000,50,45,24.0,29.0,31.0,34.5,39.0
46,050:000,50,46,22.0,30.0,32.5,35.0,40.0
47,050:000,50,47,21.0,31.0,33.0,35.0,39.0
48,050:000,50,48,23.0,30.0,33.0,35.0,41.0
49,050:000,50,49,25.0,32.0,34.0,36.0,41.0
50,050:001,50,0,18.0,25.0,27.0,30.0,39.0
51,050:001,50,1,21.0,25.5,28.5,30.0,36.0
52,050:001,50,2,14.0,25.0,28.0,30.0,36.0
53,050:001,50,3,18.0,25.0,27.0,30.0,33.0
54,050:001,50,4,19.0,25.0,27.0,29.5,34.0
55,050:001,50,5,16.0,25.0,27.0,30.0,37.0
56,050:001,50,6,18.0,24.0,27.0,30.0,37.0
